company_name,ceo_name,ceo_linkedin_url,cfo_name,cfo_linkedin_url,director_general_name,director_general_linkedin_url,job_source_url,search_keyword
HORNBACH,Thierry Cordonier,https://www.linkedin.com/in/thierry-cordonier-257915124,Mihaela Chelu,https://www.linkedin.com/in/mihaela-chelu-38949414a,Thierry Cordonier,https://www.linkedin.com/in/thierry-cordonier-257915124,https://www.bestjobs.eu/loc-de-munca/agent-servicii-client-call-center-16,call center
Credit Online IFN S.A.,RALUCA STEFANIA ANDREICA,https://www.linkedin.com/in/raluca-stefania-andreica-19965624,James Bronstein,,Laurentiu Ionut Stan,https://www.linkedin.com/in/laurentiu-ionut-stan-b98b461,https://www.bestjobs.eu/loc-de-munca/agent-call-center-full-time-11,call center
CERTSIGN S.A.,Marek Krajčov,,Ryan Dowling,https://www.linkedin.com/in/ryan-dowling-3073863,Emilian Dragan,https://www.linkedin.com/in/emilian-dragan-9736501bb,https://www.bestjobs.eu/loc-de-munca/reprezentant-relatii-clienti-call-center-34,call center
TELEPERFORMANCE ROMANIA,Daniel Julien,https://www.linkedin.com/in/danieljulientp,Oana Coman,https://www.linkedin.com/in/oana-coman-ab851642,Laurent Dolivet,https://www.linkedin.com/in/laurent-dolivet-b807a6a9,https://www.bestjobs.eu/loc-de-munca/customer-support-german-bucharest-7,call center
TELUS Digital,Tobias Dengel,https://www.linkedin.com/in/tobiasdengel,"Gopi Chande, FCPA, FCA",https://www.linkedin.com/in/gopi-chande-fcpa-0a4b2632,Tobias Dengel,https://www.linkedin.com/in/tobiasdengel,https://www.bestjobs.eu/loc-de-munca/customer-support-representative-with-portuguese-1,call center
TELUS Digital,Tobias Dengel,https://www.linkedin.com/in/tobiasdengel,"Gopi Chande, FCPA, FCA",https://www.linkedin.com/in/gopi-chande-fcpa-0a4b2632,Tobias Dengel,https://www.linkedin.com/in/tobiasdengel,https://www.bestjobs.eu/loc-de-munca/customer-support-representative-with-german-32,call center
RSC Servicii Suport,Michelle Stux,https://www.linkedin.com/in/michelle-stux-2a660414,Prasad Bhalerao,,John Tinsley,,https://www.bestjobs.eu/loc-de-munca/service-center-representative-with-italian-16,call center
MOOD MEDIA ROMANIA SRL,Catalin Chifan,https://www.linkedin.com/in/catalin-chifan-60598b5,Emilian Dascalescu,https://www.linkedin.com/in/emilian-dascalescu-b88b4b172,Ioana Comsa,https://www.linkedin.com/in/ioana-comsa,https://www.bestjobs.eu/loc-de-munca/client-support-representative-with-french-16,call center
Cegedim Service Center,,,Sonia Mariana Wisner Domé,https://www.linkedin.com/in/soniawisnerdome,Anthony Cercleux,https://www.linkedin.com/in/anthonycercleux,https://www.bestjobs.eu/loc-de-munca/teleconseiller-service-assurance-34,call center
GRAWE ROMANIA ASIGURARE SA,Cornelia Eremia,https://www.linkedin.com/in/cornelia-eremia-53b6b787,Ramona Toma,https://www.linkedin.com/in/ramona-toma-a2b93759,Ramona Toma,https://www.linkedin.com/in/ramona-toma-a2b93759,https://www.bestjobs.eu/loc-de-munca/consultant-relatii-clienti-53,call center
AKTEK,Aditya Tallapragada,https://www.linkedin.com/in/adityakt,Jon Purdy,https://www.linkedin.com/in/jondpurdy,Semih Gür,https://www.linkedin.com/in/semihgur,https://www.bestjobs.eu/loc-de-munca/operator-introducere-date-412,operator introducere date
KARL HEINZ DIETRICH INTERNATIONAL EXPED SRL,Dietrich Wanke,,,,,,https://www.bestjobs.eu/loc-de-munca/operator-introducere-validare-si-prelucrare-date-377,operator introducere date
INTERSNACK ROMANIA,Cătălin Georgescu,https://www.linkedin.com/in/cătălin-georgescu-b989733b,Petre Matea,https://www.linkedin.com/in/petre-matea-621414a1,Petre Matea,https://www.linkedin.com/in/petre-matea-621414a1,https://www.bestjobs.eu/loc-de-munca/operator-introducere-date-415,operator introducere date
MSN Life Services,Bo Trotter,https://www.linkedin.com/in/bo-trotter-28981a2a,LinkedIn India: Log In or Sign Up,,Eli Arnett,https://www.linkedin.com/in/eli-arnett-38209866,https://www.bestjobs.eu/loc-de-munca/registrator-medical-asistent-medical-generalist-1,operator introducere date
NMC STIL DISTRIBUTION SRL,Nigel Isaacs,https://www.linkedin.com/in/nigel-isaacs-12357473,Stefano Sartoretti,https://www.linkedin.com/in/stefano-sartoretti,Constantin Alan,https://www.linkedin.com/in/constantin-alan-728245178,https://www.bestjobs.eu/loc-de-munca/operator-facturare-1260,operator introducere date
Regina Maria,Regina M.,,daniela petra,https://www.linkedin.com/in/danielapetra,Cosmin Panaete,https://www.linkedin.com/in/cosminpanaete,https://www.bestjobs.eu/loc-de-munca/operator-date-198,operator introducere date
CCN ALTYAPI YATIRIMLARI VE INȘAAT ANONIM ȘIRKETI ANKARA SUCURSALA BUCURESTI,N A,,,,Baran Horoz,https://www.linkedin.com/in/baran-horoz-349824111,https://www.bestjobs.eu/loc-de-munca/timekeeper-2,operator introducere date
SOCIETATEA CIVILA PROFESIONALA DE EXECUTORI JUDECATORESTI MAZILU SI AS,Solomon Dan,,,,Solomon Dan,,https://www.bestjobs.eu/loc-de-munca/personal-administrativ-arhiva-2,operator introducere date
Blu Residence Project S.R.L.,Todd Leonard,,Carolina Rolim,https://www.linkedin.com/in/carolinaprolim,Matthew Schulte,,https://www.bestjobs.eu/loc-de-munca/asistent-manager-4594,operator introducere date
Pantofiori.ro,Mihai Pătrașcu,,Sonia Mariana Wisner Domé,,Magazinul Gospodarului.ro,,https://www.bestjobs.eu/loc-de-munca/operator-comenzi-online-52,operator introducere date
