company_name,ceo_name,ceo_linkedin_url,cfo_name,cfo_linkedin_url,director_general_name,director_general_linkedin_url,job_source_url,search_keyword
Skilld,Ryan Roslansky,,Adrianne Lee,https://www.linkedin.com/in/adrianne-b-lee,Veronique Bontemps,https://www.linkedin.com/in/veronique-bontemps-0620b36,https://www.ejobs.ro/locuri-de-munca/site-engineer/1958326,software engineer
Farmacia Tei,Pedro J. E. Vanga,,Sonia Mariana Wisner Domé,,Lacramioara Zanfir,https://www.linkedin.com/in/lacramioara-zanfir-b45587142,https://www.ejobs.ro/locuri-de-munca/senior-software-engineer-scalable-web-platforms/1959973,software engineer
ESSENSYS SOFTWARE,Amy Goudie,https://www.linkedin.com/in/amygoudie,Sarah Harvey,https://www.linkedin.com/in/sarah-harvey-3324ba20,Tanja Hill,https://www.linkedin.com/in/tanja-hill-5b759514,https://www.ejobs.ro/locuri-de-munca/junior-developer-academia-de-software/1959988,software engineer
LEASINGTEAM S.R.L.,Sayan Tarafder,https://www.linkedin.com/in/sayan-tarafder-47ab392bb,Tony Francis,https://www.linkedin.com/in/tony-francis,Ahmed Abdalgawad‏,https://www.linkedin.com/in/ahmed-abdalgawad-2a1940173,https://www.ejobs.ro/locuri-de-munca/senior-embedded-software-engineer-iot/1955694,software engineer
Contec Automation,Alex Blochtein,https://www.linkedin.com/in/alexblochtein,Joseph Contino,https://www.linkedin.com/in/joseph-contino-57b46a,Masaaki Yamasaki,https://www.linkedin.com/in/masaaki-yamasaki-b222a4137,https://www.ejobs.ro/locuri-de-munca/software-developer-application-engineer/1958192,software engineer
Infopro Digital Automotive,Barry Coultrip,https://www.linkedin.com/in/barry-coultrip-a8757b61,Paolo Marletta,https://www.linkedin.com/in/paolomarletta,Alexis UZAN,https://www.linkedin.com/in/alexis-uzan,https://www.ejobs.ro/locuri-de-munca/senior-software-developer/1956648,software engineer
Amazon Development Center (Romania) S.R.L,Josan Cristian,https://www.linkedin.com/in/josan-cristian-4b89679,Andrei Dodan,https://www.linkedin.com/in/andrei-dodan-7743b1b5,Josan Cristian,https://www.linkedin.com/in/josan-cristian-4b89679,https://www.ejobs.ro/locuri-de-munca/software-development-engineer-compliance-shared-services-coss-amazon-stores/1953907,software engineer
Amazon Development Center (Romania) S.R.L,Josan Cristian,https://www.linkedin.com/in/josan-cristian-4b89679,Andrei Dodan,https://www.linkedin.com/in/andrei-dodan-7743b1b5,Josan Cristian,https://www.linkedin.com/in/josan-cristian-4b89679,https://www.ejobs.ro/locuri-de-munca/principal-software-development-engineer-compliance-safety-services/1955950,software engineer
SC G-DESMET SRL,Petru Nicolae,https://www.linkedin.com/in/petru-nicolae-491123114,Mihaela Manta,,Petre Ene,https://www.linkedin.com/in/petre-ene-b257879,https://www.ejobs.ro/locuri-de-munca/cad-cam-engineer/1960029,software engineer
SYSBLUE CYBER SOLUTIONS S.R.L.,Horacio Maysonet,https://www.linkedin.com/in/hmaysonet,Janaki Yarlagadda,https://www.linkedin.com/in/janakiyarlagadda,Steven Sullivan,https://www.linkedin.com/in/steven-sullivan-3a2a9622,https://www.ejobs.ro/locuri-de-munca/ai-ml-engineer/1960411,software engineer
CODA INTELLIGENCE,Shishir Mehrotra,https://www.linkedin.com/in/shishirmehrotra,LinkedIn: Log In or Sign Up,,Oliver Heckmann,https://www.linkedin.com/in/oliver-at-coda,https://www.bestjobs.eu/loc-de-munca/software-engineer-python-10,software engineer
CERTSIGN S.A.,Marek Krajčov,,Ryan Dowling,https://www.linkedin.com/in/ryan-dowling-3073863,Marius Alexandru Luca,,https://www.bestjobs.eu/loc-de-munca/dezv-software-fullstack-senior-java-angular-1,software engineer
Wittmann Romania,Barbara Wittmann,https://www.linkedin.com/in/barbara-wittmann-8663a9136,Cristian Ungureanu,https://www.linkedin.com/in/cristian-luminiu-ungureanu-556334176,Joseph Wittmann,,https://www.bestjobs.eu/loc-de-munca/front-end-net-software-developer-3,software engineer
Magister Software SRL,Dor Bujor Padureanu,https://www.linkedin.com/in/dpadureanu,Sonia Mariana Wisner Domé,https://www.linkedin.com/in/soniawisnerdome,Dor Bujor Padureanu,https://www.linkedin.com/in/dpadureanu,https://www.bestjobs.eu/loc-de-munca/programator-delphi-mid-level-4,software engineer
TRANSFER RAPID LIMITED LONDRA SUCURSALA BUCURESTI,Laudat Marius,https://www.linkedin.com/in/laudat-marius-01380929,Adrian Teslovan,https://www.linkedin.com/in/adrian-teslovan-13679a39,Ionut Nejloveanu,https://www.linkedin.com/in/ionut-nejloveanu-90103488,https://www.bestjobs.eu/loc-de-munca/java-software-engineer-88,software engineer
DEV SOFTWARE TEAM SRL,Marco Cerasoli,https://www.linkedin.com/in/marco-cerasoli-51943358,Natalia Rusu,https://www.linkedin.com/in/natalia-rusu-a1997359,Chuck M.,,https://www.bestjobs.eu/loc-de-munca/specialist-testare-software-1,software engineer
ORANGE SERVICES,Philippe Lannes,https://www.linkedin.com/in/philippe-lannes-5309044,Edwin Sotelo,https://www.linkedin.com/in/edwin-sotelo-38a391105,‏Zaher CHAMI‏,https://www.linkedin.com/in/zaherchami,https://www.bestjobs.eu/loc-de-munca/automation-developer-with-uipath-rpa-agentic-ai-1,software engineer
ORANGE SERVICES,Philippe Lannes,https://www.linkedin.com/in/philippe-lannes-5309044,Edwin Sotelo,https://www.linkedin.com/in/edwin-sotelo-38a391105,‏Zaher CHAMI‏,https://www.linkedin.com/in/zaherchami,https://www.bestjobs.eu/loc-de-munca/devops-engineer-858,software engineer
WORLDPAY TECHNOLOGY BUCHAREST S.R.L.,Charles Drucker,,Andrew Ciafardini,,Cristian Valentin Constantinescu,,https://www.bestjobs.eu/loc-de-munca/java-software-engineer-specialist-tech-lead-3,software engineer
Cegedim Service Center,,,Sonia Mariana Wisner Domé,https://www.linkedin.com/in/soniawisnerdome,Anthony Cercleux,https://www.linkedin.com/in/anthonycercleux,https://www.bestjobs.eu/loc-de-munca/quality-assurance-engineer-124,software engineer
WOLF-E ROBOTICS S.R.L.,Johnathan Lamb,,Will Wolf,,WOLF ROBOTICS,,https://www.ejobs.ro/locuri-de-munca/executive-assistant/1959065,executive
Global HR Services,G lobal HR Solutions Solutions,,"Julie Smith, MBA, CPA",,Satya Sai Kumar Mantrala,,https://www.ejobs.ro/locuri-de-munca/sales-executive/1955427,executive
Coca-Cola HBC Romania,Adriana Burlacu,https://www.linkedin.com/in/adriana-burlacu-58820675,Alin Cojocaru,https://www.linkedin.com/in/alin-cojocaru-46955a64,Jovan Radosavljevic,,https://www.ejobs.ro/locuri-de-munca/horeca-prestige-key-account-executive/1954421,executive
Coca-Cola HBC Romania,Adriana Burlacu,https://www.linkedin.com/in/adriana-burlacu-58820675,Alin Cojocaru,https://www.linkedin.com/in/alin-cojocaru-46955a64,Jovan Radosavljevic,,https://www.ejobs.ro/locuri-de-munca/horeca-prestige-key-account-executive/1954419,executive
CONCRETE & DESIGN SOLUTIONS SRL,Ballard Hall,https://www.linkedin.com/in/ballard-hall-b898974a,Reagan Sakai,https://www.linkedin.com/in/reagansakai,Dr. Sachin (Ph.D.) Kumar,,https://www.ejobs.ro/locuri-de-munca/office-executive-assistant/1957230,executive
S.C. INTERBRANDS ORBICO S.R.L.,Radu Serbu,https://www.linkedin.com/in/raduserbu,Gabriel Grecu,https://www.linkedin.com/in/gabriel-grecu-849281bb,Andreea Constantinica,https://www.linkedin.com/in/andreea-constantinica-4238b8263,https://www.ejobs.ro/locuri-de-munca/key-account-executive-divizia-modern-trade-cluj-napoca/1959813,executive
Roshen Confectionery Corporation,Tetiana Kruhlii,,Алексей Ткач,https://www.linkedin.com/in/%D0%B0%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B9-%D1%82%D0%BA%D0%B0%D1%87-5257429a,Fedchuk Vadim,https://www.linkedin.com/in/fedchuk-vadim-825390105,https://www.ejobs.ro/locuri-de-munca/key-account-executive/1959335,executive
GLOBAL MAT INSTALL SRL,Bo Larsson,,Mihaela Manta,https://www.linkedin.com/in/manta-mihaela-555b8939,Global Mat Install,,https://www.ejobs.ro/locuri-de-munca/account-executive-responsabil-comercial/1957798,executive
CONCELEX,Jake McCorkle,https://www.linkedin.com/in/jake-mccorkle-b05a7915,Sonia Mariana Wisner Domé,https://www.linkedin.com/in/soniawisnerdome,Alexandra Serban,https://www.linkedin.com/in/serbanalexandra,https://www.ejobs.ro/locuri-de-munca/executive-assistant/1958148,executive
iSense Solutions,William Macharia,,Danil Saliukov,https://www.linkedin.com/in/danil-saliukov,iSense Global,,https://www.ejobs.ro/locuri-de-munca/executive-quantitative-researcher/1959343,executive
ASIGURAREA ROMANEASCA ASIROM VIENNA INSURANCE GROUP S.A.,Mircea Popescu,https://www.linkedin.com/in/mircea-popescu-0b78561bb,Mircea Popescu,https://www.linkedin.com/in/mircea-popescu-0b78561bb,Mircea Popescu,,https://www.bestjobs.eu/loc-de-munca/director-de-vanzari-divizia-life-sanatate-2,executive
ASIGURAREA ROMANEASCA ASIROM VIENNA INSURANCE GROUP S.A.,Mircea Popescu,https://www.linkedin.com/in/mircea-popescu-0b78561bb,Mircea Popescu,https://www.linkedin.com/in/mircea-popescu-0b78561bb,Mircea Popescu,,https://www.bestjobs.eu/loc-de-munca/unit-manager-divizia-life-sanatate-5,executive
